epoch,accuracy,loss,val_accuracy,val_loss
0,0.4241081476211548,2.0650887489318848,0.8165009021759033,0.6458860039710999
1,0.8181528449058533,0.504201352596283,0.9650599360466003,0.14379112422466278
2,0.923613965511322,0.21200336515903473,0.9890334010124207,0.042033497244119644
3,0.9464405179023743,0.14935427904129028,0.9224687814712524,0.3581255078315735
4,0.9597028493881226,0.11024434864521027,0.9892884492874146,0.035566817969083786
5,0.9626039862632751,0.10649760812520981,0.9908186793327332,0.028494758531451225
6,0.9692351818084717,0.08836624026298523,0.9945167303085327,0.019069917500019073
7,0.9756432175636292,0.06375881284475327,0.9887783527374268,0.03975628688931465
8,0.9726145267486572,0.07823709398508072,0.9803621768951416,0.06071577966213226
9,0.97666335105896,0.06412309408187866,0.9827849864959717,0.06716474890708923
10,0.9818918108940125,0.045645881444215775,0.9980872273445129,0.008440913632512093
11,0.9772372245788574,0.0611412450671196,0.9895434975624084,0.03705838322639465
12,0.9827844500541687,0.04611127823591232,0.9934965372085571,0.021473988890647888
13,0.9857812523841858,0.03778843209147453,0.9857179522514343,0.04337778687477112
14,0.982019305229187,0.046759601682424545,0.9841877222061157,0.0586080364882946
15,0.979436993598938,0.059746064245700836,0.9871206283569336,0.04171384125947952
